monthly_income,rent,food,emi,transport,subscriptions,savings,emergency_fund_months,dependents,health_label
2733,613,649,786,242,64,139,4,3,Critical
1599,386,297,6,157,45,322,11,2,Stable
1344,288,317,381,134,26,404,5,2,At Risk
5339,996,781,338,313,257,1580,5,0,Stable
2915,520,569,502,189,45,197,0,4,At Risk
1426,483,203,112,92,68,361,1,4,Stable
4221,1466,492,1035,316,115,994,4,2,At Risk
2561,407,636,537,120,75,690,0,2,At Risk
2846,512,359,200,239,48,658,6,3,Stable
3840,901,492,650,149,106,1037,10,0,Stable
3131,586,708,853,302,45,106,6,0,Critical
2906,647,640,195,112,141,976,10,1,Stable
2742,482,676,669,224,68,238,2,4,Critical
3148,759,348,748,181,58,597,8,2,At Risk
9558,1953,1090,1097,710,381,3306,5,0,Stable
3058,673,511,35,159,70,356,10,3,Stable
1570,265,296,78,60,53,465,9,2,Stable
2623,618,277,373,250,39,349,10,1,Stable
3424,1186,423,483,224,96,829,7,1,Stable
2973,641,610,94,151,63,741,11,3,Stable
3937,1280,788,338,290,162,128,0,0,At Risk
1899,605,215,215,91,29,472,2,2,Stable
1855,631,444,454,60,65,199,7,4,Critical
2314,712,319,623,197,23,818,10,3,At Risk
7628,2150,1777,1381,760,85,2743,9,3,At Risk
2945,946,702,241,285,98,830,7,0,Stable
2488,410,431,511,227,111,828,7,3,Stable
2557,620,413,724,210,72,224,1,0,Critical
8589,2987,1217,283,355,230,693,6,3,At Risk
6252,1900,1382,526,255,85,1518,3,1,Stable
3838,1314,496,629,155,162,32,1,4,At Risk
4015,1228,776,410,249,117,1250,2,4,Stable
2744,891,507,711,173,53,471,2,1,At Risk
2992,871,410,234,210,125,611,9,3,Stable
1845,557,456,488,84,51,410,0,0,At Risk
2602,662,590,649,85,40,689,10,0,At Risk
4142,1386,426,208,153,56,225,0,0,At Risk
3048,960,497,85,106,148,258,10,4,At Risk
3996,1273,614,811,341,142,509,7,4,At Risk
8266,2352,1921,990,325,163,2790,8,4,Stable
2431,512,339,169,200,73,283,9,2,Stable
5004,786,1249,1373,187,205,1972,7,3,Stable
1741,586,226,46,112,79,244,4,0,Stable
1537,410,209,383,77,51,74,10,3,At Risk
2282,478,456,384,172,105,120,5,0,At Risk
3682,662,457,134,148,101,1302,2,0,Stable
4142,1308,966,466,294,183,730,1,2,At Risk
3877,1230,451,621,271,43,631,4,0,At Risk
3428,1072,848,177,199,127,1204,2,2,Stable
3242,904,749,124,206,83,619,3,3,Stable
3943,880,890,322,158,154,1194,11,1,Stable
8392,1769,1351,1412,727,321,1329,9,4,Stable
2417,366,427,559,174,77,850,10,2,Stable
4157,1316,700,1199,159,184,1605,8,2,At Risk
2701,452,670,120,254,115,992,5,2,Stable
3801,1049,399,9,279,186,167,6,2,Stable
6221,1560,978,1832,261,127,1485,0,0,At Risk
4638,1184,1137,190,211,145,713,2,0,Stable
4913,1647,763,1108,217,188,822,8,4,At Risk
11246,1758,1796,2610,514,531,238,10,1,At Risk
2563,780,499,64,114,114,986,7,2,Stable
2572,412,607,625,211,76,713,3,1,Stable
3662,577,527,274,261,111,1425,1,2,Stable
1439,339,348,342,66,24,37,2,0,Critical
1383,224,196,132,131,61,519,2,0,Stable
2876,885,639,647,88,62,564,0,3,Critical
3582,916,506,902,279,137,818,2,0,At Risk
9933,1547,1102,13,675,346,2043,6,3,Stable
2609,412,578,409,175,55,578,7,2,Stable
1737,473,290,178,119,81,619,6,1,Stable
1705,530,270,431,109,50,396,10,2,At Risk
3899,926,641,564,375,178,1504,2,0,Stable
1605,418,307,184,117,31,549,10,2,Stable
3290,1019,458,145,204,56,891,2,1,Stable
1278,347,173,108,115,43,274,6,1,Stable
3985,776,687,1188,367,116,113,4,1,At Risk
4315,1176,454,1108,363,111,1433,10,0,Stable
3615,996,710,332,253,133,127,6,1,At Risk
1951,579,435,361,64,95,27,10,1,At Risk
1797,492,375,537,168,41,373,10,1,At Risk
2702,929,460,558,235,94,891,4,3,Critical
6729,1274,1243,684,641,279,7,11,2,At Risk
9015,3067,936,109,355,194,3244,6,1,Stable
2156,555,510,516,209,47,46,4,4,Critical
12019,3418,2208,1029,1173,564,2953,11,4,Stable
8173,1388,1205,352,504,122,1458,4,3,Stable
1352,305,194,46,47,30,264,8,3,Stable
12030,3655,2393,386,884,383,2883,7,4,Stable
2748,800,515,93,202,82,803,11,0,Stable
11514,1819,1475,1782,773,418,2832,7,3,Stable
11888,3082,1919,2723,629,169,1378,7,1,At Risk
4143,694,834,1109,145,197,983,8,2,Stable
2756,962,398,567,191,71,1085,5,4,At Risk
2694,887,475,77,140,96,501,6,3,Stable
1524,235,210,433,56,60,39,0,2,Critical
10340,3326,1145,17,447,384,4051,9,1,Stable
12439,4153,1968,2807,1061,486,570,4,2,Critical
3585,791,752,1056,309,114,113,11,3,Critical
1602,470,211,429,134,76,62,3,0,Critical
3476,828,740,746,122,98,934,8,0,Stable
5280,1483,1058,831,199,232,100,8,0,At Risk
1977,431,348,592,91,38,716,8,1,Stable
4066,872,999,762,400,170,1393,9,1,Stable
2266,532,526,564,111,79,347,2,4,At Risk
9907,1774,1827,539,945,451,2011,7,2,Stable
8902,2815,1635,1708,677,313,1663,7,0,At Risk
1865,409,264,7,59,37,25,0,1,At Risk
2496,574,594,605,160,30,604,8,0,At Risk
3672,1207,860,454,325,138,550,10,0,At Risk
2828,705,597,218,97,56,4,10,2,Stable
2552,660,304,198,185,118,427,0,1,Stable
1394,475,286,409,73,67,204,3,0,At Risk
3276,1072,451,851,144,158,473,8,1,At Risk
2701,496,346,639,180,49,583,0,2,At Risk
1843,450,394,279,157,58,319,7,4,At Risk
2300,791,561,275,194,110,517,11,4,At Risk
6895,1547,802,1222,290,69,2501,7,0,Stable
4084,916,508,668,222,63,592,5,3,Stable
2553,482,339,679,138,81,533,8,0,Stable
3362,581,821,981,294,91,756,8,1,At Risk
2092,623,427,584,135,35,588,0,2,At Risk
1924,584,388,443,108,51,181,5,3,Critical
2823,970,496,343,243,41,384,11,4,At Risk
7866,2396,1420,1796,726,173,402,4,4,Critical
1846,366,264,431,97,24,699,2,0,At Risk
2910,459,358,148,287,78,618,8,1,Stable
2716,942,589,667,183,131,691,3,4,Critical
5093,1110,868,1393,174,192,1202,7,2,Stable
3613,767,500,814,200,84,653,8,4,At Risk
1663,550,324,339,113,74,35,4,3,Critical
4046,1080,531,264,355,48,470,1,0,Stable
2771,534,480,530,220,46,864,6,4,Stable
2362,774,303,447,103,38,251,5,2,Stable
3823,1332,817,430,228,123,1495,4,2,At Risk
2784,465,412,94,102,40,677,5,2,Stable
3969,1279,659,516,362,50,1194,6,1,Stable
1453,331,309,401,43,69,288,1,0,At Risk
6721,1712,1337,1575,324,324,751,8,3,At Risk
3017,1004,482,320,251,67,940,1,0,Stable
1979,682,218,116,62,95,199,8,0,Stable
5286,1070,1259,730,425,154,1350,7,0,Stable
1791,344,181,407,135,62,441,5,4,Stable
3011,500,632,618,184,37,451,7,2,At Risk
10858,2848,2625,2876,433,380,479,7,2,Critical
3111,475,454,290,160,121,129,11,1,Stable
3559,827,396,527,156,125,261,0,1,At Risk
2889,475,397,222,87,115,1145,8,2,Stable
3707,856,544,860,206,129,749,6,4,Stable
3460,546,580,436,322,148,1105,3,4,Stable
2565,813,458,329,163,101,469,1,3,At Risk
7339,1408,1532,1793,528,330,2199,11,3,Stable
2957,637,695,647,283,123,958,4,0,At Risk
2476,802,420,350,152,95,929,8,3,Stable
3984,1192,844,450,282,155,1486,10,2,Stable
3486,675,415,719,127,130,254,4,0,At Risk
3905,641,583,1104,153,88,586,8,2,At Risk
2322,680,273,295,164,46,857,7,0,Stable
3153,719,642,36,105,132,53,8,0,Stable
1931,585,455,509,62,90,133,8,2,Critical
2237,534,522,111,83,101,592,9,1,Stable
1966,430,292,531,91,82,554,3,1,Stable
2368,568,319,589,87,61,867,3,2,Stable
4154,1245,586,822,199,109,602,9,4,Stable
3175,1049,454,805,259,131,375,3,0,At Risk
2118,338,237,165,125,63,278,0,4,Stable
11506,2931,1380,2954,880,519,4064,6,2,Stable
2319,363,306,390,193,27,209,11,2,At Risk
2711,660,274,144,143,129,153,0,0,At Risk
3709,1213,397,283,343,154,212,11,0,At Risk
3110,691,636,736,280,114,293,11,2,Critical
5018,1688,967,1268,295,103,1704,7,2,At Risk
2106,581,509,552,184,103,365,3,1,Critical
4043,1361,647,223,216,168,1589,3,0,Stable
3263,983,543,882,263,111,1246,11,3,At Risk
10365,1769,1141,1535,1015,360,3042,9,2,Stable
3388,664,416,1009,175,138,674,4,0,At Risk
8249,1887,1680,1179,578,330,834,0,3,At Risk
5029,925,680,380,277,139,1807,8,1,Stable
2743,682,592,49,177,43,875,8,1,Stable
9793,2392,2015,1953,443,139,1674,5,2,Stable
3324,1134,704,4,199,96,73,2,2,At Risk
2469,584,502,619,185,53,540,4,1,At Risk
2189,672,451,204,118,29,506,7,0,Stable
3894,1317,708,777,195,120,1435,9,4,At Risk
1907,620,384,285,101,88,546,1,0,Stable
3278,628,586,646,170,119,1287,6,1,Stable
3847,958,503,61,158,60,645,0,3,Stable
8400,1844,1114,495,784,346,1426,1,2,Stable
1825,419,293,489,176,33,206,0,0,At Risk
9944,2209,1015,1245,482,304,1472,4,4,Stable
1837,579,428,311,134,87,235,6,0,At Risk
3697,888,518,506,192,148,590,6,4,Stable
6460,1645,695,1765,456,276,1019,3,1,At Risk
1842,638,301,110,93,55,171,8,2,At Risk
12220,1979,2716,3075,418,610,4297,8,0,Stable
6707,1660,1070,120,271,128,845,1,3,Stable
10717,3266,1493,2756,714,405,3797,5,1,At Risk
2803,505,509,759,133,128,625,4,2,Stable
3929,1069,731,930,250,134,151,3,1,Critical
2594,513,554,215,243,123,659,11,4,Stable
3328,1076,732,113,109,159,219,1,2,At Risk
1485,319,305,223,129,66,512,6,2,Stable
2582,557,259,515,165,97,666,4,4,Stable
7104,1915,712,1745,289,325,2479,10,4,Stable
2915,544,718,442,134,54,1155,11,1,Stable
2991,619,417,490,297,106,109,10,2,At Risk
2606,608,370,731,141,54,964,1,0,At Risk
1386,305,290,19,47,19,216,6,4,Stable
3227,822,604,308,229,126,1011,11,4,Stable
11385,3073,1930,1496,494,225,1130,7,1,At Risk
3068,807,360,588,284,47,1158,2,3,Stable
1251,351,140,35,68,40,163,8,2,Stable
4036,853,829,1059,295,59,441,2,1,At Risk
8635,1513,1024,819,773,279,1184,0,1,Stable
2038,615,337,113,201,78,615,8,2,Stable
4076,1304,857,723,395,52,1011,4,1,At Risk
2068,416,493,87,78,76,804,7,2,Stable
3979,920,919,393,213,139,236,10,4,At Risk
3155,787,724,815,236,54,308,8,3,Critical
7035,1805,1081,1665,272,266,860,6,4,At Risk
1458,411,348,122,82,55,569,0,3,Stable
2638,417,534,332,254,74,263,9,0,At Risk
3383,995,788,515,146,92,566,10,2,At Risk
6616,1074,749,1125,428,177,2305,5,0,Stable
10801,2631,1144,973,361,173,302,0,0,At Risk
7180,2265,1180,1150,537,353,614,11,2,At Risk
4083,980,915,947,292,93,935,7,4,At Risk
2345,421,378,482,207,103,584,8,2,Stable
3782,1312,880,1078,344,89,1325,7,1,At Risk
2449,802,331,175,109,96,742,6,2,Stable
6110,1859,647,1243,550,285,1850,6,0,At Risk
2680,622,574,763,264,73,217,10,2,Critical
3436,641,666,99,315,61,868,8,4,Stable
3834,1296,636,646,346,85,245,1,1,At Risk
1516,388,343,447,106,39,316,3,2,At Risk
3949,1265,883,72,299,83,1093,5,0,Stable
1649,360,245,179,140,54,509,0,0,Stable
2929,635,661,74,124,129,674,9,4,Stable
9580,3325,1453,1683,942,322,2282,10,4,At Risk
1695,431,327,433,86,71,255,2,1,At Risk
4025,717,518,292,265,61,1392,5,3,Stable
3331,645,465,204,227,114,617,7,2,Stable
1260,310,210,200,111,18,436,7,0,Stable
4135,655,608,440,258,194,1412,7,1,Stable
3545,859,423,878,209,171,789,10,2,Stable
2278,532,392,91,124,43,361,6,1,Stable
2164,661,382,593,198,78,762,9,4,At Risk
1986,438,245,483,177,35,299,6,4,At Risk
4040,1399,509,18,242,144,881,10,3,Stable
3706,689,386,309,219,81,360,0,2,At Risk
4228,1133,442,1158,182,185,892,11,3,Stable
12080,2028,1857,3099,787,400,2039,7,4,At Risk
1358,403,165,200,73,20,118,7,1,At Risk
1278,445,303,209,74,33,407,2,1,At Risk
3993,1253,518,96,174,121,1374,9,3,Stable
8736,2281,960,2096,638,391,3087,4,1,Stable
2869,708,460,65,173,118,626,10,3,Stable
4016,1273,517,775,375,116,591,5,4,At Risk
3292,1110,359,112,196,38,358,3,4,Stable
1364,474,290,177,116,20,111,0,1,Critical
1840,421,337,198,131,54,691,5,3,Stable
3377,1175,366,420,313,102,757,5,1,Stable
2822,511,480,488,254,49,512,10,4,Stable
4799,963,507,202,434,79,918,8,2,Stable
4957,831,759,331,488,85,806,3,2,Stable
1903,388,294,60,71,20,626,9,1,Stable
2181,662,487,427,107,74,17,11,1,At Risk
5723,1834,1203,90,171,107,1412,7,2,Stable
3778,1155,886,746,326,84,1257,0,0,At Risk
6117,1689,740,1785,481,94,183,8,3,At Risk
11533,2915,2076,3076,1097,283,702,2,3,Critical
3817,1113,393,373,303,54,114,9,1,Stable
2161,493,483,139,73,59,5,10,2,Stable
6726,2140,1042,1937,303,181,1903,4,1,At Risk
2950,842,325,392,107,144,82,5,2,At Risk
2812,814,418,297,87,64,260,0,2,At Risk
1685,433,241,63,82,51,668,4,0,Stable
3112,1017,668,155,219,74,643,11,0,Stable
1996,400,237,444,181,66,103,11,2,At Risk
11556,2614,2118,698,883,457,698,8,3,Stable
2699,824,591,144,115,52,88,9,2,At Risk
3001,745,633,290,191,138,96,6,3,At Risk
3558,1166,855,974,163,158,1095,7,1,At Risk
8564,1877,857,1514,614,366,581,10,2,At Risk
2843,636,435,661,204,51,38,0,3,Critical
10167,3332,1580,2192,557,258,2832,8,1,At Risk
3144,763,330,895,131,151,963,1,1,At Risk
4121,1043,917,853,330,42,1032,2,1,At Risk
2173,470,441,81,110,43,3,9,4,Stable
3646,748,653,221,346,40,440,11,3,Stable
2672,751,429,563,153,66,141,4,0,At Risk
12037,2094,2820,776,367,424,3717,11,0,Stable
1493,486,208,370,101,23,343,4,3,At Risk
3212,982,482,847,211,143,350,4,4,Critical
7210,1356,1751,896,394,217,322,3,1,At Risk
1523,439,167,174,59,24,417,11,0,Stable
1640,443,356,59,127,68,102,9,3,At Risk
3184,595,661,895,162,139,363,2,4,At Risk
7509,1536,1766,1097,248,243,867,10,0,Stable
6550,1518,743,1391,615,299,1571,1,2,At Risk
2711,785,665,128,111,60,188,6,2,At Risk
1743,484,181,282,70,65,5,10,3,At Risk
3106,796,467,724,124,79,826,1,4,At Risk
2723,826,306,488,127,95,690,2,1,Stable
2062,621,222,234,95,94,432,5,0,Stable
2584,706,632,476,102,29,9,0,0,Critical
10392,3194,2161,3103,867,142,2047,7,1,At Risk
7555,1638,1328,1547,608,356,2415,4,1,Stable
1422,463,165,214,46,21,250,7,2,Stable
3873,1057,692,993,149,59,96,0,0,Critical
3453,1085,511,487,295,98,888,10,0,Stable
7062,1830,993,957,474,121,1108,5,4,Stable
6650,1288,1281,1112,297,287,1501,3,1,Stable
2775,717,606,266,236,105,168,10,0,At Risk
9686,2171,1612,207,793,116,2596,5,1,Stable
4153,1202,722,469,335,72,319,3,2,At Risk
1504,368,297,329,54,67,40,6,1,At Risk
6940,2201,823,1015,574,77,410,8,4,At Risk
2175,621,487,557,126,67,651,1,4,At Risk
3731,1070,841,203,168,75,1042,9,0,Stable
3535,683,640,235,220,69,306,10,1,Stable
2737,949,350,529,139,46,533,7,1,At Risk
3291,1047,576,808,299,104,398,5,0,At Risk
9014,2774,1044,1880,596,321,927,4,4,At Risk
5222,1128,1120,695,411,187,462,1,2,At Risk
3182,818,466,843,114,40,681,6,2,Stable
3280,581,481,664,170,89,114,1,3,Critical
4004,1031,967,1002,312,100,1116,7,4,At Risk
2246,402,366,609,111,34,5,10,3,At Risk
1842,480,402,292,129,24,223,2,2,At Risk
2735,765,534,482,135,72,469,1,4,At Risk
1736,395,255,347,82,19,65,2,1,At Risk
2502,624,296,729,113,120,497,6,2,At Risk
12480,4057,2741,3017,574,303,3499,7,3,At Risk
3446,591,738,36,283,160,1182,11,1,Stable
3767,1161,472,485,122,72,774,2,4,Stable
2008,369,275,523,95,88,730,4,1,Stable
3647,573,783,39,341,49,957,4,2,Stable
2083,389,515,393,109,35,509,1,2,Stable
9726,2947,2203,2757,549,158,3110,6,2,At Risk
7109,1642,1440,665,605,117,2013,4,1,Stable
2585,838,613,560,205,106,608,0,2,Critical
2065,526,294,192,65,66,627,10,4,Stable
3142,485,318,603,117,145,124,0,4,At Risk
2080,610,308,584,124,74,524,3,3,At Risk
3821,657,939,422,248,115,1100,0,1,Stable
2014,620,467,580,83,74,29,3,0,Critical
2715,498,292,311,128,67,874,9,3,Stable
3227,707,565,379,273,81,563,9,1,Stable
3147,951,351,721,180,34,1152,4,1,Stable
4073,1388,889,440,347,195,328,1,0,Critical
1581,354,246,155,130,30,365,1,3,Stable
2326,734,550,129,130,74,254,8,3,Stable
2050,385,221,54,182,101,98,8,3,Stable
4088,1273,858,1027,299,68,1053,2,2,At Risk
7679,2161,1227,1096,246,137,219,2,3,At Risk
2095,395,293,409,91,55,727,5,3,Stable
3014,634,535,432,133,126,619,10,4,Stable
3652,644,631,410,111,55,827,7,3,Stable
1799,407,274,220,141,87,396,4,4,Stable
3800,724,749,90,305,92,1210,2,4,Stable
2700,752,537,545,235,81,74,11,1,Critical
3560,1242,397,547,227,154,1300,7,4,Stable
7930,1208,1501,157,422,332,533,11,1,Stable
12015,3102,2482,2265,922,434,292,9,3,At Risk
3670,971,408,230,303,95,614,10,1,Stable
3130,1041,622,130,264,147,839,6,2,Stable
1803,452,397,528,119,55,224,2,4,Critical
3008,778,676,71,145,111,83,2,4,At Risk
1751,427,186,383,63,32,284,7,3,At Risk
3042,619,622,636,197,58,279,5,0,At Risk
3255,524,714,509,172,54,828,1,0,Stable
1421,329,226,36,135,59,57,0,2,At Risk
3893,624,706,341,384,53,849,3,3,Stable
3694,960,516,178,115,88,513,3,0,Stable
2264,478,331,667,214,112,309,3,1,At Risk
3907,1003,684,116,253,144,931,4,0,Stable
11400,2016,1398,43,907,160,222,11,4,Stable
8042,2706,1251,527,342,306,974,5,3,Stable
1509,496,219,355,137,60,365,7,3,At Risk
2370,445,321,600,95,107,669,6,4,Stable
1385,302,239,291,113,17,261,3,0,At Risk
2743,748,619,356,226,45,1092,0,0,At Risk
3859,652,526,915,124,98,1086,11,4,Stable
3241,715,644,658,230,108,1259,6,2,Stable
6512,1303,899,1941,488,105,1813,5,0,Stable
2774,924,336,365,232,74,861,5,2,Stable
8382,2686,2024,472,639,124,2542,7,4,Stable
3034,806,591,60,102,63,684,5,4,Stable
2187,555,253,409,139,84,724,2,0,Stable
3381,1136,658,947,296,142,706,5,1,At Risk
2051,690,259,483,147,95,76,2,0,Critical
2994,1029,698,657,121,100,225,1,1,Critical
1760,308,241,273,73,68,139,2,0,At Risk
1505,274,332,81,78,64,470,5,1,Stable
3620,1032,470,297,238,58,519,7,1,Stable
10991,2838,2019,930,583,453,515,3,2,Stable
2575,395,609,513,111,96,75,0,2,At Risk
7067,1147,1020,1815,514,222,1563,1,2,At Risk
2883,944,323,118,252,58,1011,2,3,Stable
3938,1275,720,39,287,157,1368,10,0,Stable
10572,2341,1330,1622,427,265,1175,11,3,Stable
3706,1216,775,998,122,78,756,0,3,Critical
2037,547,384,587,145,22,759,9,1,At Risk
4040,1257,613,579,397,185,187,3,0,At Risk
3730,878,767,279,161,92,926,3,2,Stable
2517,434,341,579,182,56,363,1,2,At Risk
11641,2755,2765,591,733,119,397,6,3,At Risk
1880,453,285,464,166,50,229,0,2,At Risk
3018,785,647,787,103,101,567,2,4,Critical
6495,1111,901,606,393,285,2194,7,1,Stable
1530,532,317,84,78,22,245,9,0,Stable
1609,319,168,53,75,67,388,3,1,Stable
8840,1677,1275,1617,723,282,2321,11,0,Stable
10584,2702,1205,3117,468,415,2973,7,0,Stable
1866,480,312,250,103,63,273,0,4,At Risk
1454,345,240,114,134,67,455,11,4,Stable
3056,930,470,758,256,85,215,11,3,Critical
4016,1017,992,859,310,126,1347,4,2,At Risk
2405,654,328,53,133,90,344,7,0,Stable
3362,990,735,262,256,99,946,4,1,Stable
2946,456,492,329,121,106,1067,2,1,Stable
10361,2736,1556,673,761,111,1460,0,3,Stable
3171,1036,413,839,143,108,960,9,0,At Risk
4157,638,810,233,172,90,1592,1,3,Stable
2723,629,408,647,222,117,49,6,0,At Risk
1667,558,369,370,145,31,496,7,4,Critical
3888,857,953,14,346,151,1241,3,2,Stable
4888,1181,655,409,170,221,937,9,4,Stable
3079,1066,367,471,120,45,690,0,4,At Risk
3921,744,577,257,364,189,57,4,4,Stable
12356,2014,2101,3032,707,220,3199,4,4,Stable
3460,1113,502,139,279,131,206,9,3,At Risk
2144,693,526,107,114,94,854,8,1,Stable
2812,687,609,496,125,29,591,3,4,Stable
2785,704,682,19,268,133,287,6,0,Stable
2714,860,423,808,122,67,522,9,0,At Risk
8117,2416,1182,1291,596,261,1383,7,2,At Risk
1577,320,254,308,84,63,226,10,4,Stable
2200,337,392,166,208,55,282,7,3,Stable
3867,951,816,1107,336,123,154,11,2,Critical
3817,1228,886,382,184,67,407,0,4,Critical
1931,635,327,74,113,33,44,4,2,At Risk
6446,2199,924,879,437,313,341,1,2,At Risk
1314,428,194,50,43,28,258,6,1,Stable
5813,1546,1189,1677,300,274,1217,9,3,At Risk
3847,919,712,582,292,59,933,1,2,Stable
2955,901,511,532,102,94,484,7,1,At Risk
1453,432,189,211,74,17,53,1,3,At Risk
1900,489,439,132,144,71,336,5,3,Stable
2351,393,510,120,109,95,259,9,1,Stable
11432,3832,1384,3311,525,428,2893,8,0,At Risk
3080,742,477,293,135,135,507,2,2,Stable
1415,315,256,24,121,26,433,5,0,Stable
10283,2837,1729,1556,861,158,1162,11,4,At Risk
12437,3541,1985,910,1003,386,1961,6,3,Stable
3300,634,685,699,288,49,878,9,0,Stable
3094,981,334,350,121,72,264,6,2,At Risk
3795,789,647,1062,293,60,111,10,3,At Risk
3820,715,532,499,245,137,982,3,4,Stable
2140,494,241,434,110,28,421,7,3,At Risk
12134,3593,2059,3091,685,216,227,5,0,Critical
8753,3003,1100,2267,573,416,1531,0,1,Critical
4119,1284,571,684,241,131,404,10,1,At Risk
3442,1163,605,829,139,132,265,3,3,Critical
2112,376,519,157,148,50,332,1,4,Stable
2045,335,414,369,68,52,445,4,0,Stable
2038,533,289,20,94,73,779,1,2,Stable
4129,859,649,413,346,63,518,8,0,Stable
3627,1144,583,376,183,75,585,3,4,At Risk
1745,496,214,457,166,21,83,9,2,Critical
2458,845,305,349,217,81,765,7,4,Stable
2832,569,346,629,161,63,656,1,3,At Risk
11709,2893,2087,1654,1088,498,976,7,4,At Risk
1888,472,379,177,79,82,533,7,1,Stable
3437,679,648,968,150,37,310,2,2,Critical
1269,340,313,237,112,18,126,1,3,Critical
2910,694,345,559,255,40,351,4,0,Stable
2028,485,502,298,166,44,491,8,4,Stable
2112,470,359,117,180,91,113,7,1,Stable
8029,1231,1066,2011,556,292,2669,5,3,Stable
2220,564,536,491,78,88,455,0,2,At Risk
6522,1415,1110,746,603,66,1751,6,0,Stable
2636,396,400,740,103,107,375,0,0,At Risk
3512,743,463,362,147,149,1095,9,1,Stable
2276,468,319,26,194,42,636,7,3,Stable
3688,843,910,288,123,142,1127,4,0,Stable
9575,1688,1394,1058,616,189,2352,10,4,Stable
3207,806,791,789,156,79,666,5,4,At Risk
1488,429,222,351,80,16,466,5,4,Stable
8322,2297,1121,1079,475,348,2595,6,3,Stable
2493,774,317,524,105,55,547,4,4,Stable
4028,968,651,275,347,63,406,2,3,Stable
1950,494,264,521,97,92,96,9,3,At Risk
2048,639,418,37,120,45,30,9,2,At Risk
3276,771,445,391,115,130,1123,10,3,Stable
3171,920,714,769,116,142,427,7,2,At Risk
4157,984,935,636,298,197,1273,7,4,Stable
3650,852,521,891,217,93,237,5,1,At Risk
2948,890,628,146,189,60,310,0,0,At Risk
3660,676,836,276,263,58,344,11,1,Stable
9885,2152,1863,1183,887,315,1084,0,2,At Risk
2436,474,377,627,113,115,554,9,2,Stable
2619,580,435,752,86,116,226,8,2,At Risk
6940,1360,1512,118,449,158,596,9,0,Stable
2165,575,311,610,151,47,145,3,4,At Risk
1639,507,246,343,54,78,70,1,2,Critical
3261,1002,404,473,127,159,289,9,4,At Risk
1284,286,205,93,117,22,364,1,1,Stable
9134,3176,1031,777,282,427,3155,5,4,Stable
9572,2572,1418,1907,820,331,2644,7,0,Stable
3020,694,471,380,238,55,784,8,2,Stable
2519,798,348,23,243,110,287,0,0,At Risk
3070,908,353,889,141,88,676,9,1,Stable
7596,2277,1353,1517,343,180,329,7,2,At Risk
6806,1287,1563,1611,458,127,864,5,0,At Risk
3088,752,464,595,197,92,1018,6,1,Stable
11290,3639,1530,2417,858,506,358,8,4,Critical
8794,2205,1255,103,686,397,372,2,0,Stable
3420,980,784,399,115,52,494,7,3,At Risk
3356,898,601,941,240,40,649,11,0,At Risk
11811,3761,1412,3390,920,502,2457,3,1,At Risk
10197,2109,2104,2812,595,194,2233,5,1,Stable
1646,436,202,493,152,70,647,6,3,At Risk
3292,574,358,69,204,79,913,1,0,Stable
11308,3257,1564,216,952,338,3490,6,2,Stable
3327,986,416,931,122,117,150,10,4,At Risk
1668,264,318,15,160,65,74,6,3,Stable
4248,1211,733,1128,271,124,1515,0,3,Critical
2442,568,509,641,105,55,555,5,2,Stable
2595,453,458,421,97,103,482,8,4,Stable
8736,2044,1422,2307,565,384,338,8,1,At Risk
10561,1994,1889,2179,458,490,2914,5,4,Stable
2659,619,439,136,124,97,100,6,1,Stable
3169,718,334,802,106,39,261,7,0,At Risk
3219,958,650,387,304,73,987,0,3,At Risk
11070,3374,2704,721,638,173,2298,1,2,Stable
6444,1748,1052,1889,556,260,1360,1,2,At Risk
2777,429,454,570,238,92,717,11,0,Stable
2530,850,270,140,209,121,811,6,4,Stable
2092,600,488,546,181,88,11,6,4,Critical
1530,239,366,378,48,21,320,8,2,Stable
1552,486,344,47,124,68,535,0,2,At Risk
1351,256,156,51,115,50,339,11,1,Stable
2013,535,473,135,114,61,414,11,0,Stable
7313,1779,757,1973,483,304,1513,2,1,At Risk
2387,558,397,519,208,34,81,7,0,At Risk
8997,2950,1575,2433,852,119,1963,9,1,At Risk
3668,871,825,929,217,69,1133,4,2,At Risk
10026,1654,2131,1602,533,152,531,9,3,At Risk
3183,1080,698,48,138,85,1193,3,4,Stable
2030,678,467,439,93,94,357,1,2,Critical
3974,1140,681,735,207,125,7,4,3,At Risk
2328,567,505,162,74,110,268,10,4,Stable
2582,435,284,716,227,128,153,3,4,At Risk
5385,1659,897,1109,488,67,1098,11,1,At Risk
2932,484,306,705,109,29,902,10,2,Stable
3020,494,716,703,264,118,297,8,0,At Risk
1668,429,406,63,122,81,386,9,2,Stable
1605,292,180,134,80,66,527,5,2,Stable
2001,303,359,457,84,65,576,0,1,At Risk
6318,1482,939,1106,566,267,1368,11,1,Stable
1942,344,293,72,174,78,555,3,1,Stable
8085,1472,1355,1026,527,197,2264,4,0,Stable
2302,380,273,165,222,109,332,4,1,Stable
2771,529,352,621,195,34,481,4,3,At Risk
3341,979,623,137,210,60,473,10,4,Stable
7249,2260,745,1333,311,146,2405,5,4,Stable
3864,929,734,32,158,64,823,8,1,Stable
2164,543,319,448,98,82,512,11,2,Stable
3474,543,781,93,325,126,1121,7,4,Stable
4081,668,775,157,189,198,1573,7,0,Stable
2018,406,416,290,188,72,302,7,3,At Risk
